name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
VIP Industries Ltd.,VIPIND,507880,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,493.20,52.90,0.10,45527.00,45394.00,45370.00,6.00,45364.00,0.90,110.90,45511.00
CreditAccess Grameen Ltd.,CREDITACC,541770,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),248.80,902.30,0.72,45363.00,423.90,466.80,119.70,347.00,45525.00,1204.20,75.70
CESC Ltd.,CESC,500084,UTILITIES,ELECTRIC UTILITIES,3706.00,646.00,0.15,303.00,305.00,461.00,98.00,348.00,45445.00,1447.00,45545.00
Jamna Auto Industries Ltd.,JAMNAAUTO,520051,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,528.20,79.10,0.13,45545.00,0.80,68.70,45461.00,50.10,45384.00,189.30,45477.00
Suprajit Engineering Ltd.,SUPRAJIT,532509,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,639.10,69.80,0.10,45498.00,45456.00,49.20,45426.00,34.80,45414.00,146.90,45453.00
JK Paper Ltd.,JKPAPER,532162,COMMERCIAL SERVICES & SUPPLIES,PAPER & PAPER PRODUCTS,1242.80,407.30,0.25,83.50,42.00,340.60,34.90,302.40,45552.00,1220.60,72.10
Bank of Maharashtra,MAHABANK,532525,BANKING AND FINANCE,BANKS,1179.40,1920.50,0.38,0.00,2635.70,935.70,16.00,919.80,45352.00,3420.80,45508.00
Aavas Financiers Ltd.,AAVAS,541988,BANKING AND FINANCE,HOUSING FINANCE,123.50,367.80,0.74,45450.00,203.60,157.40,35.70,121.70,45397.00,465.40,58.80
HDFC Asset Management Company Ltd.,HDFCAMC,541729,BANKING AND FINANCE,ASSET MANAGEMENT COS.,162.00,481.10,0.75,13.00,45353.00,588.10,151.60,436.50,45402.00,1659.30,77.70
KEI Industries Ltd.,KEI,517569,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,1742.70,203.90,0.10,45458.00,45419.00,188.40,48.20,140.20,45427.00,528.30,58.50
Orient Electric Ltd.,ORIENTELEC,541301,CONSUMER DURABLES,CONSUMER ELECTRONICS,546.20,45493.00,0.04,45336.00,45327.00,45405.00,45539.00,45400.00,0.90,95.30,45416.00
Deepak Nitrite Ltd.,DEEPAKNTR,506401,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,1475.80,302.30,0.17,39.40,45475.00,277.20,72.10,205.10,15.00,797.90,58.50
Fine Organic Industries Ltd.,FINEORG,541557,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,409.40,131.10,0.24,45396.00,0.70,133.10,45563.00,103.40,33.70,458.80,149.60
LTIMindtree Ltd.,LTIM,540005,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,7274.10,1631.30,0.18,208.20,47.00,1519.30,357.00,1161.80,39.30,4427.50,149.60
Dalmia Bharat Ltd.,DALBHARAT,542216,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,256.00,589.00,0.19,401.00,101.00,172.00,48.00,118.00,45357.00,1041.00,54.80
Godfrey Phillips India Ltd.,GODFRYPHLP,500163,FOOD BEVERAGES & TOBACCO,CIGARETTES-TOBACCO PRODUCTS,1151.00,223.60,0.16,36.50,45449.00,218.50,55.50,202.10,38.90,802.90,154.40
Vaibhav Global Ltd.,VAIBHAVGBL,532156,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,641.50,63.50,0.09,45465.00,45537.00,41.40,45394.00,45411.00,45505.00,121.30,45358.00
Abbott India Ltd.,ABBOTINDIA,500488,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1113.30,380.90,0.25,45521.00,45294.00,415.40,102.50,312.90,147.30,1081.40,508.90
Adani Total Gas Ltd.,ATGL,ASM,UTILITIES,UTILITIES,815.70,279.90,0.26,37.60,45378.00,224.20,57.20,172.70,45444.00,571.00,45327.00
Nestle India Ltd.,NESTLEIND,500790,FMCG,PACKAGED FOODS,3811.90,1224.90,0.24,111.20,31.40,1222.00,313.90,908.10,94.20,2971.10,308.20
Bayer Cropscience Ltd.,BAYERCROP,506285,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,1312.30,304.90,0.19,45454.00,45476.00,305.70,82.80,222.90,49.60,844.40,188.10
Amber Enterprises India Ltd.,AMBER,540902,CONSUMER DURABLES,CONSUMER ELECTRONICS,867.50,59.60,0.06,45.20,36.60,-9.50,-3.80,-6.90,-2.10,156.80,46.50
Rail Vikas Nigam Ltd.,RVNL,542649,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,4616.00,298.30,0.06,45328.00,132.70,455.40,85.20,394.30,45536.00,1478.80,45298.00
Metropolis Healthcare Ltd.,METROPOLIS,542650,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,233.70,74.80,0.24,45344.00,45478.00,48.10,45424.00,35.50,45541.00,133.40,26.00
Polycab India Ltd.,POLYCAB,542652,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,3608.80,608.90,0.14,60.30,45530.00,557.20,127.40,425.60,45410.00,1607.20,107.10
Multi Commodity Exchange of India Ltd.,MCX,534091,BANKING AND FINANCE,EXCHANGE,193.80,-28.70,-0.17,45449.00,0.10,-16.40,45444.00,-19.10,-3.70,44.80,45512.00
IIFL Finance Ltd.,IIFL,532636,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,788.30,1600.80,0.65,43.30,932.10,683.50,158.00,474.30,45394.00,1690.70,44.40
Ratnamani Metals & Tubes Ltd.,RATNAMANI,520111,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,886.30,244.90,0.22,45466.00,45514.00,221.10,56.80,163.90,45405.00,622.60,88.80
RHI Magnesita India Ltd.,RHIM,534076,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,839.00,147.90,0.15,44.20,45420.00,97.90,45377.00,71.30,45415.00,-502.20,-24.30
Birlasoft Ltd.,BSOFT,532400,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1102.70,207.10,0.16,45433.00,45478.00,195.50,50.40,145.10,45327.00,378.40,45486.00
EIH Ltd.,EIHOTEL,500840,HOTELS RESTAURANTS & TOURISM,HOTELS,387.60,142.90,0.27,33.20,45448.00,126.10,36.20,93.10,45413.00,424.10,45510.00
Affle (India) Ltd.,AFFLE,542752,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,344.10,87.20,0.20,45400.00,45417.00,73.20,45388.00,66.80,5.00,264.30,45523.00
Westlife Foodworld Ltd.,WESTLIFE,505533,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,516.50,98.20,0.16,43.90,45409.00,30.20,45511.00,45404.00,45383.00,107.70,45541.00
IndiaMART InterMESH Ltd.,INDIAMART,542726,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,214.70,80.00,0.27,8.00,45353.00,104.30,45558.00,69.40,45393.00,321.10,53.60
Infosys Ltd.,INFY,500209,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,29554.00,944.00,0.24,1166.00,138.00,8768.00,2553.00,6212.00,15.00,24871.00,60.10
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,542760,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,758.00,45413.00,0.00,45355.00,64.30,-50.00,45447.00,-54.20,-2.90,-668.40,-35.20
ABB India Ltd.,ABB,500002,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,2330.70,438.50,0.16,45381.00,0.90,484.20,122.20,362.90,45308.00,1208.70,57.00
Poly Medicure Ltd.,POLYMED,531768,HEALTHCARE EQUIPMENT & SUPPLIES,HEALTHCARE SUPPLIES,253.10,84.20,0.25,16.00,45324.00,80.90,45522.00,62.20,45418.00,233.70,45406.00
GMM Pfaudler Ltd.,GMMPFAUDLR,505255,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,795.50,142.00,0.15,32.20,45433.00,96.80,45438.00,71.10,45519.00,183.20,40.80
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,542812,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,783.70,163.10,0.17,67.50,34.20,74.80,45313.00,52.70,45508.00,915.20,83.30
360 One Wam Ltd.,360ONE,542772,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,235.60,317.80,0.57,45486.00,139.90,226.80,40.80,186.00,45327.00,696.80,45431.00
Tata Communications Ltd.,TATACOMM,500483,TELECOM SERVICES,OTHER TELECOM SERVICES,3857.10,1015.50,0.21,605.10,137.40,298.30,77.90,220.70,45480.00,1322.30,46.40
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,506767,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,303.90,48.30,0.14,45424.00,45474.00,36.40,45331.00,45349.00,45356.00,171.30,33.50
CSB Bank Ltd.,CSBBANK,542867,BANKING AND FINANCE,BANKS,317.50,174.60,0.25,0.00,343.60,178.00,44.80,133.20,45480.00,577.70,33.30
Indian Railway Catering & Tourism Corporation Ltd.,IRCTC,542830,DIVERSIFIED CONSUMER SERVICES,TRAVEL SUPPORT SERVICES,628.80,366.60,0.37,14.00,45386.00,395.20,100.50,294.70,45476.00,1061.20,45364.00
Sumitomo Chemical India Ltd.,SUMICHEM,542920,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,715.50,187.90,0.21,45519.00,45323.00,195.50,52.00,143.40,45537.00,367.70,45389.00
Century Textiles & Industries Ltd.,CENTURYTEX,500040,COMMERCIAL SERVICES & SUPPLIES,PAPER & PAPER PRODUCTS,1069.20,33.80,0.03,59.20,17.00,-30.50,-3.30,-30.40,-2.80,117.70,45422.00
SBI Cards and Payment Services Ltd.,SBICARD,543066,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),2018.80,1327.00,0.32,46.80,604.90,809.40,206.40,603.00,45388.00,2302.20,45375.00
Hitachi Energy India Ltd.,POWERINDIA,543187,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,1162.60,65.30,0.05,45434.00,45483.00,32.40,45450.00,45497.00,45509.00,82.50,45431.00
Suven Pharmaceuticals Ltd.,SUVENPHAR,543064,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,133.10,98.00,0.42,45546.00,0.50,105.40,45529.00,79.60,45294.00,431.80,17.00
Tata Chemicals Ltd.,TATACHEM,500770,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,3179.00,819.00,0.20,234.00,145.00,627.00,120.00,428.00,45520.00,206.00,80.80
Aarti Drugs Ltd.,AARTIDRUGS,524348,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,565.10,76.40,0.12,45455.00,45330.00,56.30,45489.00,39.60,45355.00,180.20,45462.00
Gujarat Ambuja Exports Ltd.,GAEL,524226,FMCG,EDIBLE OILS,1012.20,103.30,0.09,45442.00,45540.00,109.10,45377.00,82.80,45446.00,305.10,45364.00
Polyplex Corporation Ltd.,POLYPLEX,524051,COMMERCIAL SERVICES & SUPPLIES,CONTAINERS & PACKAGING,1451.50,120.60,0.08,75.10,45544.00,59.10,45545.00,45562.00,45543.00,71.10,45465.00
Chalet Hotels Ltd.,CHALET,542399,HOTELS RESTAURANTS & TOURISM,HOTELS,188.60,126.00,0.40,35.00,50.10,44.50,8.00,36.40,45505.00,266.70,13.00
Adani Enterprises Ltd.,ADANIENT,512599,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING  & DISTRIBUTION,20087.20,2430.10,0.11,757.00,1342.80,791.00,397.80,227.80,2.00,2444.30,45403.00
YES Bank Ltd.,YESBANK,532648,BANKING AND FINANCE,BANKS,2377.10,810.00,0.12,0.00,4793.60,304.40,75.70,228.60,0.10,836.60,0.30
EPL Ltd.,EPL,500135,COMMERCIAL SERVICES & SUPPLIES,CONTAINERS & PACKAGING,820.60,181.00,0.18,83.60,45473.00,76.40,45407.00,50.50,45444.00,251.90,45542.00
Network18 Media & Investments Ltd.,NETWORK18,532798,MEDIA,BROADCASTING & CABLE TV,2083.80,-218.30,-0.12,56.80,66.20,-154.50,-6.50,-61.00,-0.60,-144.20,-1.40
CIE Automotive India Ltd.,CIEINDIA,532756,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1934.00,345.40,0.15,78.30,31.00,256.10,69.10,375.40,45544.00,298.40,45542.00
Vedanta Ltd.,VEDL,500295,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,27466.00,11479.00,0.29,2642.00,2523.00,8177.00,9092.00,-1783.00,-4.80,5202.00,14.00
Rossari Biotech Ltd.,ROSSARI,543213,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,419.90,63.60,0.13,45306.00,5.00,44.80,45546.00,32.90,6.00,116.80,45343.00
KPIT Technologies Ltd.,KPITTECH,542651,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,959.20,239.90,0.20,48.10,45456.00,187.70,46.30,140.90,45327.00,486.90,18.00
Intellect Design Arena Ltd.,INTELLECT,538835,SOFTWARE & SERVICES,IT SOFTWARE PRODUCTS,497.20,121.90,0.20,33.70,0.80,96.50,45498.00,70.40,45327.00,316.60,45345.00
Balaji Amines Ltd.,BALAMINES,530999,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,326.80,53.80,0.14,45514.00,45505.00,48.00,45454.00,34.70,45483.00,197.30,60.90
UTI Asset Management Company Ltd.,UTIAMC,543238,BANKING AND FINANCE,ASSET MANAGEMENT COS.,172.50,231.50,0.57,45392.00,45506.00,219.80,37.00,182.80,45396.00,562.90,44.30
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,543237,TRANSPORTATION,SHIPPING,1651.10,176.60,0.10,45342.00,45352.00,406.60,102.80,332.90,45428.00,1327.60,65.80
Computer Age Management Services Ltd.,CAMS,543232,BANKING AND FINANCE,CAPITAL MARKETS,153.00,122.10,0.44,45399.00,2.00,112.40,45471.00,84.50,45339.00,309.20,62.90
Happiest Minds Technologies Ltd.,HAPPSTMNDS,543227,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,324.00,82.60,0.20,45457.00,45333.00,79.10,45493.00,58.50,45538.00,232.00,45458.00
Triveni Turbine Ltd.,TRITURBINE,533655,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,313.40,74.30,0.19,45296.00,0.60,83.20,19.00,64.20,2.00,233.10,45358.00
Angel One Ltd.,ANGELONE,ASM,BANKING AND FINANCE,CAPITAL MARKETS,602.60,443.40,0.42,45333.00,45408.00,407.20,102.70,304.50,36.30,1020.20,121.70
Tanla Platforms Ltd.,TANLA,532790,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,811.80,196.80,0.20,45465.00,45505.00,178.70,36.20,142.50,45453.00,514.70,38.30
Max Healthcare Institute Ltd.,MAXHEALTH,543220,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,975.80,387.40,0.28,57.90,45420.00,366.40,89.70,276.70,45537.00,990.10,45332.00
Asahi India Glass Ltd.,ASAHIINDIA,515030,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,934.00,185.60,0.17,43.00,34.40,111.30,30.20,86.90,45446.00,343.50,45305.00
Prince Pipes & Fittings Ltd.,PRINCEPIPE,542907,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,562.30,94.20,0.14,45434.00,0.70,92.80,45344.00,70.60,45327.00,219.80,45554.00
Route Mobile Ltd.,ROUTE,543228,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,886.50,128.10,0.13,45403.00,45418.00,103.80,45427.00,88.80,45336.00,365.30,58.30
KPR Mill Ltd.,KPRMILL,532889,TEXTILES APPARELS & ACCESSORIES,TEXTILES,1212.90,298.00,0.20,46.00,45309.00,256.00,54.20,201.80,45540.00,788.80,45314.00
Infibeam Avenues Ltd.,INFIBEAM,539807,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,719.70,70.20,0.09,45308.00,0.50,55.20,45487.00,41.00,0.10,142.20,0.50
Restaurant Brands Asia Ltd.,RBA,543248,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,568.70,56.20,0.09,78.60,45443.00,-50.70,0.00,-46.00,-0.90,-220.30,-4.50
Larsen & Toubro Ltd.,LT,500510,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,45392.10,5632.00,0.11,909.90,864.00,4991.10,1135.50,3222.60,45557.00,12255.30,89.20
Gland Pharma Ltd.,GLAND,543245,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1049.30,324.10,0.24,81.30,6.00,289.90,95.80,194.10,45515.00,698.80,42.40
Macrotech Developers Ltd.,LODHA,543287,REALTY,REALTY,1333.50,416.10,0.24,45380.00,123.10,269.20,62.40,201.90,45293.00,1529.20,45550.00
Poonawalla Fincorp Ltd.,POONAWALLA,524000,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),178.90,531.70,0.72,45487.00,215.50,1124.60,270.00,860.20,45333.00,1466.40,45310.00
The Fertilisers and Chemicals Travancore Ltd.,FACT,590024,FERTILIZERS,FERTILIZERS,1530.80,132.40,0.08,45356.00,61.20,105.20,0.00,105.20,45444.00,508.40,45542.00
Home First Finance Company India Ltd.,HOMEFIRST,543259,BANKING AND FINANCE,HOUSING FINANCE,53.70,211.60,0.77,45506.00,117.00,96.40,45313.00,74.30,45390.00,266.20,30.20
CG Power and Industrial Solutions Ltd.,CGPOWER,500093,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,1692.90,308.60,0.15,45557.00,0.40,329.90,86.20,242.30,45444.00,11.00,45329.00
Laxmi Organic Industries Ltd.,LXCHEM,543277,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,613.30,38.90,0.06,45439.00,45293.00,45429.00,45510.00,45483.00,0.40,100.60,45507.00
Anupam Rasayan India Ltd.,ANURAS,543275,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,284.70,107.50,0.27,45523.00,45402.00,70.70,22.00,40.70,45507.00,178.90,45459.00
Kalyan Jewellers India Ltd.,KALYANKJIL,ASM,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,4100.90,313.70,0.07,66.90,81.70,178.10,43.30,135.20,45352.00,497.90,45508.00
Jubilant Pharmova Ltd.,JUBLPHARMA,530019,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1438.50,241.80,0.14,96.60,66.10,89.00,35.90,62.50,45538.00,-44.60,-2.80
Indigo Paints Ltd.,INDIGOPNTS,543258,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,228.70,41.80,0.15,10.00,0.50,34.30,45330.00,45317.00,45417.00,132.40,45531.00
Indian Railway Finance Corporation Ltd.,IRFC,543257,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),33.50,6732.40,1.00,45293.00,5181.50,1549.90,0.00,1549.90,45323.00,6067.60,45447.00
Mastek Ltd.,MASTEK,523704,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,642.50,123.00,0.16,45555.00,45455.00,90.30,25.00,62.80,45432.00,269.70,88.00
Equitas Small Finance Bank Ltd.,EQUITASBNK,543243,BANKING AND FINANCE,BANKS,616.80,330.20,0.24,0.00,593.40,267.00,68.90,198.10,45505.00,749.50,45479.00
Tata Teleservices (Maharashtra) Ltd.,TTML,532371,TELECOM SERVICES,TELECOM SERVICES,159.30,127.50,0.44,36.30,403.20,-310.20,0.00,-310.20,-1.60,-1168.30,-6.00
Praj Industries Ltd.,PRAJIND,522205,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,798.40,84.00,0.10,45300.00,1.00,84.80,45404.00,62.40,45385.00,271.40,45518.00
Nazara Technologies Ltd.,NAZARA,543280,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,269.40,45499.00,0.09,45306.00,45475.00,45343.00,-1.30,45523.00,3.00,60.00,45300.00
Jubilant Ingrevia Ltd.,JUBLINGREA,543271,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,902.30,117.70,0.12,33.90,45424.00,79.80,45404.00,57.50,45446.00,258.90,45398.00
Sona BLW Precision Forgings Ltd.,SONACOMS,543300,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,567.50,223.30,0.28,53.40,6.00,164.10,40.10,123.80,45293.00,462.80,45542.00
Chemplast Sanmar Ltd.,CHEMPLASTS,543336,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,941.80,46.00,0.05,35.30,38.60,45331.00,-16.80,45317.00,45444.00,35.30,45324.00
Aptus Value Housing Finance India Ltd.,APTUS,543335,BANKING AND FINANCE,HOUSING FINANCE,50.60,277.50,0.83,45445.00,96.10,189.60,41.50,148.00,3.00,551.10,45302.00
Clean Science & Technology Ltd.,CLEAN,543318,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,106.30,74.80,0.41,45302.00,0.30,69.50,45368.00,52.20,45539.00,275.50,45560.00
Medplus Health Services Ltd.,MEDPLUS,543427,HEALTHCARE EQUIPMENT & SUPPLIES,HEALTHCARE SUPPLIES,1323.50,85.10,0.06,55.50,45435.00,45398.00,45536.00,45457.00,45323.00,58.30,45539.00
Nuvoco Vistas Corporation Ltd.,NUVOCO,543334,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,2243.00,329.90,0.13,225.60,139.90,-29.60,-31.10,45413.00,0.00,141.80,4.00
Star Health and Allied Insurance Company Ltd.,STARHEALTH,543412,BANKING AND FINANCE,GENERAL INSURANCE,3295.80,165.70,0.05,0.00,0.00,167.10,41.80,125.30,45293.00,725.40,45394.00
Go Fashion (India) Ltd.,GOCOLORS,543401,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,132.20,56.60,0.30,45529.00,45543.00,45529.00,45478.00,20.00,45476.00,85.40,45519.00
PB Fintech Ltd.,POLICYBZR,543390,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,900.70,-89.10,-0.11,45373.00,45329.00,-21.10,-0.30,-20.20,-0.50,-127.90,-2.80
FSN E-Commerce Ventures Ltd.,NYKAA,543384,SOFTWARE & SERVICES,INTERNET & CATALOGUE RETAIL,1426.40,80.60,0.05,54.60,45372.00,45364.00,4.00,45509.00,0.00,1908.20,0.10
Krishna Institute of Medical Sciences Ltd.,KIMS,543308,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,475.20,177.30,0.27,32.60,45543.00,138.60,37.30,92.00,45423.00,342.10,42.70
Zomato Ltd.,ZOMATO,543320,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,2895.00,-47.00,-0.02,128.00,16.00,21.00,-15.00,36.00,0.00,-496.80,-0.60
Brightcom Group Ltd.,BCG,532368,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,1172.30,518.00,0.31,72.30,0.10,445.80,124.30,321.50,45444.00,1415.20,7.00
Shyam Metalics and Energy Ltd.,SHYAMMETL,543299,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,2633.60,307.10,0.10,176.50,35.40,133.40,-348.60,484.10,45553.00,1049.90,41.20
G R Infraprojects Ltd.,GRINFRA,543317,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,1415.70,467.10,0.25,61.70,144.60,287.10,69.90,217.20,45434.00,1240.30,128.30
RattanIndia Enterprises Ltd.,RTNINDIA,534597,UTILITIES,ELECTRIC UTILITIES,1392.80,45413.00,0.00,45355.00,45532.00,142.20,45474.00,140.90,1.00,147.60,45292.00
Borosil Renewables Ltd.,BORORENEW,502219,CONSUMER DURABLES,HOUSEWARE,369.20,32.50,0.08,31.00,45452.00,45563.00,-1.10,45316.00,45536.00,32.10,45414.00
HLE Glascoat Ltd.,HLEGLAS,522215,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,198.00,45438.00,0.12,45297.00,45509.00,45307.00,45356.00,10.00,45444.00,54.40,8.00
Tata Investment Corporation Ltd.,TATAINVEST,501301,DIVERSIFIED,HOLDING COMPANIES,45301.00,113.80,0.92,0.20,45477.00,110.10,-1.30,124.40,45467.00,326.10,64.40
Sapphire Foods India Ltd.,SAPPHIRE,543397,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,527.50,115.10,0.18,76.80,45436.00,45403.00,45328.00,45366.00,45384.00,208.50,32.70
Devyani International Ltd.,DEVYANI,543330,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,665.00,154.40,0.19,86.30,41.70,19.00,-16.80,33.40,0.30,177.50,45413.00
Vijaya Diagnostic Centre Ltd.,VIJAYA,543350,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,81.50,57.40,0.41,45486.00,45540.00,44.60,11.00,33.30,45354.00,103.40,45301.00
C.E. Info Systems Ltd.,MAPMYINDIA,543425,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,50.10,41.00,0.45,45476.00,0.70,44.70,45302.00,33.00,45297.00,122.90,45495.00
Latent View Analytics Ltd.,LATENTVIEW,543398,SOFTWARE & SERVICES,DATA PROCESSING SERVICES,124.90,45534.00,0.20,45353.00,0.80,44.70,45453.00,34.00,45474.00,153.60,45419.00
Metro Brands Ltd.,METROBRAND,543426,RETAILING,FOOTWEAR,400.30,155.40,0.28,57.20,45492.00,94.70,45439.00,66.70,45414.00,340.00,45424.00
Easy Trip Planners Ltd.,EASEMYTRIP,543272,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,76.90,64.80,0.46,1.00,2.00,64.70,45490.00,47.20,0.30,146.00,0.80
Shree Renuka Sugars Ltd.,RENUKA,532670,FOOD BEVERAGES & TOBACCO,SUGAR,2491.00,63.70,0.02,64.10,216.80,-207.20,-1.60,-204.90,-1.00,-286.00,-1.30
One97 Communications Ltd.,PAYTM,543396,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,2749.60,-231.00,-0.09,180.10,7.00,-279.90,45485.00,-290.50,-5.00,-1207.90,-19.00
MTAR Technologies Ltd.,MTARTECH,543270,GENERAL INDUSTRIALS,DEFENCE,130.70,36.10,0.22,45509.00,45417.00,45498.00,45327.00,45432.00,45479.00,103.30,33.60
Capri Global Capital Ltd.,CGCL,531595,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),229.30,304.80,0.55,45314.00,195.80,86.00,45524.00,65.20,45325.00,231.20,45333.00
GMR Airports Infrastructure Ltd.,GMRINFRA,ASM,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,1336.80,726.70,0.35,373.00,695.80,-252.00,54.90,-91.00,-0.10,-370.90,-0.60
Triveni Engineering & Industries Ltd.,TRIVENI,532356,FOOD BEVERAGES & TOBACCO,SUGAR,1554.50,62.90,0.04,45529.00,45332.00,39.30,45301.00,45320.00,45352.00,434.30,45523.00
Delhivery Ltd.,DELHIVERY,543529,TRANSPORTATION,TRANSPORTATION - LOGISTICS,1957.30,-15.60,-0.01,171.20,45462.00,-105.20,-2.10,-102.90,-1.40,-546.70,-7.50
Life Insurance Corporation of India,LICI,543526,BANKING AND FINANCE,LIFE INSURANCE,193612.50,8445.00,0.04,0.00,0.00,8696.50,1083.90,8030.30,45485.00,37204.80,58.80
Campus Activewear Ltd.,CAMPUS,543523,RETAILING,FOOTWEAR,234.20,45436.00,0.09,45309.00,45418.00,0.40,0.10,0.30,0.00,103.10,45385.00
