name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
REC Ltd.,RECLTD,532955,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),275.10,12180.50,1.04,45297.00,7349.80,4837.60,1047.70,3789.90,45396.00,12738.60,48.40
SJVN Ltd.,SJVN,533206,UTILITIES,ELECTRIC UTILITIES,172.20,706.20,0.80,101.90,124.20,567.70,129.20,439.60,45292.00,1016.00,45445.00
SKF India Ltd.,SKFINDIA,500472,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,1003.70,121.50,0.11,45370.00,0.50,122.00,45504.00,90.00,45340.00,484.00,97.90
SRF Ltd.,SRF,503806,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,2551.20,626.20,0.20,161.20,79.30,414.80,114.00,300.80,45332.00,1733.40,58.50
Sanofi India Ltd.,SANOFI,500674,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,506.10,208.50,0.29,45544.00,0.30,210.10,57.90,152.10,66.10,596.30,259.30
Schaeffler India Ltd.,SCHAEFFLER,505790,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1506.30,342.00,0.19,55.60,45444.00,315.70,80.70,235.00,15.00,922.60,59.00
Shree Cements Ltd.,SHREECEM,500387,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,3914.10,886.00,0.18,411.70,67.00,539.20,92.60,446.60,123.80,1826.80,506.30
Shriram Finance Ltd.,SHRIRAMFIN,511218,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),1409.40,6334.30,0.71,141.40,3798.00,2404.20,614.90,1786.10,47.60,6575.40,175.20
Siemens Ltd.,SIEMENS,500550,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,5107.50,700.20,0.12,78.60,45539.00,762.20,190.50,571.30,45307.00,1960.90,55.10
Sobha Ltd.,SOBHA,532784,REALTY,REALTY,665.80,75.40,0.10,45370.00,63.90,45497.00,45482.00,45549.00,45444.00,107.40,45362.00
Solar Industries India Ltd.,SOLARINDS,532725,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,1011.30,336.10,0.25,33.70,45559.00,285.30,75.50,200.10,45313.00,808.20,89.30
Sonata Software Ltd.,SONATSOFTW,532221,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1715.20,197.30,0.10,33.30,45493.00,166.50,42.30,124.20,9.00,475.70,34.30
State Bank of India,SBIN,500112,BANKING AND FINANCE,BANKS,58597.60,22703.30,0.21,0.00,62955.20,21935.70,5552.50,17196.20,18.00,69304.10,77.70
Steel Authority of India (SAIL) Ltd.,SAIL,500113,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,25836.70,3875.40,0.13,1326.60,605.20,1674.70,464.20,1305.60,45325.00,3219.50,45511.00
Sun Pharma Advanced Research Company Ltd.,SPARC,532872,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,112.70,-91.50,-4.32,45325.00,0.30,-86.40,0.00,-86.40,-2.70,-253.60,-7.80
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,524715,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,9013.00,3179.40,0.26,632.80,49.30,2790.90,390.10,2375.50,45544.00,8548.50,35.60
Sun TV Network Ltd.,SUNTV,532733,MEDIA,BROADCASTING & CABLE TV,320.60,727.80,0.69,218.80,45474.00,619.10,154.40,464.70,45515.00,1861.80,47.20
Sundram Fasteners Ltd.,SUNDRMFAST,500403,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1191.10,230.70,0.16,54.50,45389.00,176.20,43.10,131.90,45357.00,502.90,45558.00
Sunteck Realty Ltd.,SUNTECK,512179,REALTY,REALTY,39.10,-14.10,-0.57,45324.00,45519.00,-20.90,-6.40,-13.90,-1.00,-46.50,-3.30
Supreme Industries Ltd.,SUPREMEIND,509930,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,1952.50,356.20,0.15,71.90,45444.00,295.40,76.30,243.20,45310.00,1028.20,80.90
Suzlon Energy Ltd.,SUZLON,ASM,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,1196.40,225.00,0.16,51.20,43.70,102.40,0.10,102.30,0.10,561.40,0.40
Syngene International Ltd.,SYNGENE,539268,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,656.00,254.10,0.28,104.60,13.00,150.70,34.20,116.50,45537.00,498.30,45394.00
TTK Prestige Ltd.,TTKPRESTIG,517506,CONSUMER DURABLES,HOUSEWARE,648.60,80.80,0.11,45550.00,45294.00,79.50,45432.00,59.30,45355.00,224.30,45338.00
TV18 Broadcast Ltd.,TV18BRDCST,532800,MEDIA,BROADCASTING & CABLE TV,1992.20,-198.10,-0.11,50.10,33.80,-87.10,-6.50,-28.90,-0.20,92.20,0.50
TVS Motor Company Ltd.,TVSMOTOR,532343,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,8576.90,1355.90,0.14,237.10,483.30,686.40,259.80,386.30,45299.00,1457.60,45503.00
Tata Consultancy Services Ltd.,TCS,532540,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,43946.00,15746.00,0.26,1263.00,159.00,1533.00,395.00,11342.00,31.00,44654.00,122.00
Tata Elxsi Ltd.,TATAELXSI,500408,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,618.20,263.50,0.30,25.00,45509.00,263.90,63.80,200.00,32.10,785.10,126.10
Tata Consumer Products Ltd.,TATACONSUM,500800,FMCG,PACKAGED FOODS,3196.70,537.10,0.14,93.90,45470.00,490.90,131.70,338.20,45446.00,1275.20,45486.00
Tata Motors Limited (DVR),TATAMTRDVR,570001,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,,,,,,,,,,,
Tata Motors Ltd.,TATAMOTORS,500570,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,91361.30,13766.90,0.13,6636.40,2651.70,5985.90,2202.80,3764.00,45513.00,15332.30,40.00
Tata Power Company Ltd.,TATAPOWER,500400,UTILITIES,ELECTRIC UTILITIES,12647.00,3091.00,0.20,925.90,1181.80,979.20,213.30,875.50,45475.00,3570.80,45333.00
Tata Steel Ltd.,TATASTEEL,500470,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,51414.10,4267.80,0.08,2479.80,1959.40,-6842.10,-228.00,-6196.20,-5.10,-6081.30,-5.00
Tech Mahindra Ltd.,TECHM,532755,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,11941.10,922.80,0.07,465.70,97.50,623.80,110.00,493.90,45448.00,3600.70,40.90
The Ramco Cements Ltd.,RAMCOCEM,500260,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1935.00,405.60,0.17,162.80,116.50,137.80,37.00,72.00,45294.00,348.90,45518.00
Thermax Ltd.,THERMAX,500411,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,2097.80,204.60,0.09,33.00,45523.00,217.70,58.90,157.70,14.00,498.80,44.30
Timken India Ltd.,TIMKEN,522113,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,546.50,135.50,0.20,45312.00,0.90,123.60,45473.00,93.00,45394.00,358.30,47.60
Titan Company Ltd.,TITAN,500114,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,11118.00,1411.00,0.11,144.00,140.00,1251.00,336.00,915.00,45361.00,3302.00,37.10
Torrent Pharmaceuticals Ltd.,TORNTPHARM,500420,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1835.00,825.00,0.31,201.00,91.00,559.00,173.00,386.00,45393.00,1334.00,39.40
Torrent Power Ltd.,TORNTPOWER,532779,UTILITIES,ELECTRIC UTILITIES,5739.50,1221.40,0.18,341.70,247.20,740.70,198.10,525.90,45545.00,2176.80,45.30
Trent Ltd.,TRENT,500251,RETAILING,DEPARTMENT STORES,2525.80,456.60,0.15,152.20,95.50,288.90,86.30,234.70,45449.00,629.40,45490.00
Trident Ltd.,TRIDENT,521064,TEXTILES APPARELS & ACCESSORIES,TEXTILES,1557.30,240.30,0.13,89.40,35.00,130.40,40.10,90.70,0.20,458.10,0.90
UPL Ltd.,UPL,512070,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,8807.00,1325.00,0.13,657.00,871.00,-185.00,-96.00,-189.00,-2.50,1856.00,45497.00
UltraTech Cement Ltd.,ULTRACEMCO,532538,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,13461.20,2550.90,0.16,797.80,233.90,1686.20,409.40,1281.50,44.50,5694.10,197.20
Union Bank of India,UNIONBANK,532477,BANKING AND FINANCE,BANKS,6189.30,7265.00,0.29,0.00,15498.20,5492.30,1944.00,3571.80,45296.00,11918.90,45307.00
United Breweries Ltd.,UBL,532478,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,1705.80,184.30,0.10,50.90,45383.00,144.00,36.90,107.30,45295.00,251.30,45421.00
United Spirits Ltd.,MCDOWELL-N,532432,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,6269.80,466.70,0.07,65.30,45348.00,446.00,106.30,339.30,45508.00,1133.00,45458.00
V-Guard Industries Ltd.,VGUARD,532953,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,1041.30,92.50,0.08,45523.00,45360.00,77.50,45461.00,59.00,45383.00,215.20,5.00
Vardhman Textiles Ltd.,VTL,502986,TEXTILES APPARELS & ACCESSORIES,TEXTILES,2192.10,205.40,0.09,103.70,22.00,169.20,41.70,134.30,45477.00,531.90,45491.00
Varun Beverages Ltd.,VBL,540180,FOOD BEVERAGES & TOBACCO,NON-ALCOHOLIC BEVERAGES,2988.40,882.10,0.23,170.80,62.50,667.30,152.90,501.10,45538.00,1998.70,45397.00
Vinati Organics Ltd.,VINATIORGA,524200,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,337.30,110.80,0.25,45486.00,0.30,113.00,45563.00,84.20,45330.00,408.20,39.70
Voltas Ltd.,VOLTAS,500575,CONSUMER DURABLES,CONSUMER ELECTRONICS,2222.50,70.30,0.03,45484.00,45393.00,118.10,49.30,36.70,45292.00,199.50,6.00
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,533023,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,846.20,145.50,0.15,45318.00,45352.00,141.20,35.50,105.70,55.70,392.00,206.70
Welspun Corp Ltd.,WELCORP,ASM,METALS & MINING,IRON & STEEL PRODUCTS,3659.90,399.50,0.10,85.70,75.00,340.80,79.00,384.70,45487.00,809.20,45565.00
Welspun Living Ltd.,WELSPUNLIV,514162,TEXTILES APPARELS & ACCESSORIES,TEXTILES,2151.10,358.00,0.14,98.50,33.80,258.90,58.70,196.70,2.00,526.10,45387.00
Whirlpool of India Ltd.,WHIRLPOOL,500238,CONSUMER DURABLES,CONSUMER ELECTRONICS,1448.40,73.20,0.05,49.20,45448.00,52.30,45305.00,36.60,45537.00,198.80,45488.00
Wipro Ltd.,WIPRO,507685,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,18543.20,3972.70,0.18,897.00,303.30,3512.20,841.90,2646.30,45296.00,11643.80,45373.00
Zee Entertainment Enterprises Ltd.,ZEEL,505537,MEDIA,BROADCASTING & CABLE TV,2105.00,332.80,0.14,77.20,45405.00,184.20,54.40,123.00,45352.00,-102.20,-1.10
eClerx Services Ltd.,ECLERX,532927,SOFTWARE & SERVICES,BPO/KPO,517.00,204.70,0.28,45381.00,45297.00,182.40,46.30,136.00,45350.00,506.00,105.00
Sterlite Technologies Ltd.,STLTECH,532374,TELECOMMUNICATIONS EQUIPMENT,TELECOM CABLES,1281.00,213.00,0.14,85.00,95.00,36.00,12.00,34.00,0.90,203.00,45296.00
HEG Ltd.,HEG,509631,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,512.30,101.90,0.17,38.50,45420.00,82.90,45494.00,96.00,45559.00,439.50,113.90
SBI Life Insurance Company Ltd.,SBILIFE,540719,BANKING AND FINANCE,LIFE INSURANCE,28183.80,609.90,0.02,0.00,0.00,621.50,43.90,380.20,45507.00,1842.20,45400.00
General Insurance Corporation of India,GICRE,540755,BANKING AND FINANCE,GENERAL INSURANCE,11574.00,1464.60,0.11,0.00,0.00,1855.40,243.70,1689.00,45337.00,6628.00,37.80
Tube Investments of India Ltd.,TIINDIA,540762,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1718.20,251.40,0.13,34.60,45480.00,244.80,63.40,181.40,45391.00,717.50,37.10
Honeywell Automation India Ltd.,HONAUT,517174,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,965.90,138.30,0.13,45517.00,0.70,163.90,42.00,121.90,137.80,443.40,503.90
Indian Energy Exchange Ltd.,IEX,540750,BANKING AND FINANCE,EXCHANGE,45459.00,92.00,0.85,45296.00,0.70,110.60,45562.00,86.50,1.00,327.80,45476.00
